HR 8486,Mu 1Gru,22 15 36.89,-41 20 48.1,4.79
HR 3591,,09 00 05.40,-41 15 14.0,4.45
HR 5285,Chi Cen,14 06 02.81,-41 10 46.9,4.36
HR 5776,Gam Lup,15 35 08.50,-41 10 00.8,2.78
HR 8151,The1Mic,21 20 45.60,-40 48 34.9,4.82
HR 5695,Del Lup,15 21 22.30,-40 38 51.0,3.22
HR 7348,Alp Sgr,19 23 53.21,-40 36 58.0,3.97
HR 3080,,07 52 13.01,-40 34 32.9,3.73
HR 4523,,11 46 31.10,-40 30 02.2,4.91
HR 7242,Del CrA,19 08 20.90,-40 29 48.1,4.59
HR 3786,Psi Vel,09 30 42.00,-40 28 00.1,3.60
HR 3243,,08 14 02.90,-40 20 53.2,4.44
HR 897,The1Eri,02 58 15.70,-40 18 16.9,3.24
HR 898,The2Eri,02 58 16.30,-40 18 15.8,4.35
HR 1106,,03 37 05.71,-40 16 28.9,4.58
HR 4889,,12 53 26.21,-40 10 44.0,4.27
HR 6615,Iot1Sco,17 47 35.09,-40 07 36.8,3.03
HR 6631,Iot2Sco,17 50 11.21,-40 05 26.2,4.81
HR 3165,Zet Pup,08 03 35.09,-40 00 11.9,2.25
HR 4817,,12 39 52.51,-39 59 15.0,4.64
HR 794,Iot Eri,02 40 40.01,-39 51 20.2,4.11
HR 2702,,07 08 51.10,-39 39 20.9,4.83
HR 3225,,08 11 21.50,-39 37 07.0,4.45
HR 8411,Lam Gru,22 06 06.89,-39 32 35.9,4.46
HR 5378,,14 23 02.21,-39 30 43.9,4.42
HR 5089,,13 31 02.69,-39 24 27.0,3.88
HR 7259,Bet CrA,19 10 01.70,-39 20 26.9,4.11
HR 6580,Kap Sco,17 42 29.30,-39 01 48.0,2.41
HR 3084,,07 52 38.69,-38 51 47.2,4.49
HR 5724,,15 25 20.21,-38 44 01.0,4.60
HR 6546,,17 36 32.81,-38 38 07.1,4.29
HR 5967,,16 03 24.19,-38 36 09.0,4.89
HR 3682,,09 15 36.70,-38 34 12.0,4.94
HR 5948,Eta Lup,16 00 07.30,-38 23 48.8,3.41
HR 2961,,07 39 27.41,-38 18 29.9,4.84
HR 6247,Mu 1Sco,16 51 52.20,-38 02 51.0,3.08
HR 6252,Mu 2Sco,16 52 20.11,-38 01 03.0,3.57
HR 3017,,07 45 15.31,-37 58 07.0,3.61
HR 7652,,20 03 33.50,-37 56 26.9,4.77
HR 7254,Alp CrA,19 09 28.30,-37 54 15.8,4.11
HR 5367,Psi Cen,14 20 33.41,-37 53 07.1,4.05
HR 8937,Bet Scl,23 32 58.30,-37 49 05.9,4.37
HR 4979,,13 12 03.19,-37 48 11.2,4.85
HR 5471,,14 41 57.60,-37 47 37.0,4.00
HR 1190,,03 48 35.90,-37 37 14.2,4.73
HR 3684,,09 15 45.10,-37 24 47.9,4.62
HR 8353,Gam Gru,21 53 55.70,-37 21 54.0,3.01
HR 1143,,03 42 50.11,-37 18 49.0,4.59
HR 6508,34Ups Sco,17 30 45.79,-37 17 44.9,2.69
HR 4273,Iot Ant,10 56 43.10,-37 08 16.1,4.60
HR 2087,Xi Col,05 55 29.90,-37 07 14.9,4.97
HR 7152,Eps CrA,18 58 43.39,-37 06 27.0,4.87
HR 6527,35Lam Sco,17 33 36.50,-37 06 14.0,1.63
HR 2773,Pi Pup,07 17 08.59,-37 05 51.0,2.70
HR 7226,Gam CrA,19 06 25.10,-37 03 47.9,4.93
HR 7227,Gam CrA,19 06 25.10,-37 03 47.9,4.99
